id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111352006	25.52960194	34.74201471	16.31718918	0.469667327	-1.090288861	0.023963361	0.693794003
LOC111349635	55.04371185	74.91477958	35.17264411	0.46950207	-1.090796575	0.01745978	0.589434598
LOC111361976	106.26553	144.8303202	67.70073989	0.467448666	-1.097120156	0.01420944	0.538738671
LOC111361973	32.32194583	44.13052433	20.51336732	0.464833981	-1.105212555	0.011322755	0.48768226
LOC111360163	630.8049374	867.4662737	394.143601	0.454361873	-1.138086316	3.49e-05	0.022154011
LOC111356619	30.69950437	42.22248958	19.17651917	0.454177841	-1.138670775	0.012625879	0.504425692
LOC111354365	182.9403154	251.7933815	114.0872494	0.453098682	-1.1421028	0.000991968	0.127929289
LOC111350601	20.82363532	28.76623575	12.88103489	0.447783123	-1.159127941	0.029634561	0.758807876
LOC111352537	685.3116682	948.9901982	421.6331382	0.444296621	-1.170404926	0.001336198	0.155388712
LOC111348068	1417.687252	1966.602117	868.7723874	0.441763171	-1.178654946	0.004026329	0.298869252
LOC111350394	604.8887481	839.7672256	370.0102707	0.440610516	-1.182424166	0.030368304	0.772829965
LOC111354878	36.48040513	50.70168981	22.25912044	0.439021274	-1.187637244	0.032702864	0.789666472
LOC111363282	22.26914649	31.00314834	13.53514464	0.436573231	-1.195704423	0.03512305	0.798277147
LOC111354790	81.63064892	113.7852856	49.47601221	0.434819071	-1.201512877	0.002610288	0.241235563
LOC111354604	539.9626021	759.6722418	320.2529624	0.421567282	-1.246165191	0.000965857	0.127155939
LOC111349586	35.37764542	49.81648207	20.93880878	0.420318897	-1.250443777	0.003110196	0.266274759
LOC111358277	1729.689732	2438.381297	1020.998166	0.418719651	-1.255943466	0.011931549	0.491164508
LOC111350956	153.9345657	217.1103763	90.75875509	0.418030481	-1.258319953	0.034614455	0.795986149
LOC111355088	589.9442419	833.3568935	346.5315903	0.415826152	-1.2659476	0.000187916	0.049478582
LOC111355598	14.45045516	20.41945702	8.481453301	0.415361353	-1.267561106	0.043993455	0.894661844
LOC111354746	341.2658979	482.2387984	200.2929974	0.415339865	-1.267635745	0.001009398	0.127929289
LOC111354263	80.31766482	113.5186122	47.1167174	0.4150572	-1.268617922	0.01992421	0.626221504
LOC111354546	285.4378134	403.6858063	167.1898205	0.414158283	-1.271745852	0.018503078	0.601592876
LOC111363693	16.961841	24.0027978	9.920884202	0.413321992	-1.274661966	0.030752095	0.772829965
LOC111349277	194.7837279	276.1581416	113.4093143	0.41066800999999997	-1.283955527	0.048218396	0.904460337
LOC111351015	67.20924961	95.54706229	38.87143692	0.406830268	-1.297501077	0.017528868	0.589434598
LOC111356424	333.6711299	475.4245304	191.9177293	0.40367654	-1.30872835	0.003591028	0.284731833
LOC111349631	115.6854636	165.463723	65.90720422	0.398318151	-1.328006871	0.001211729	0.144527203
LOC111360423	47.72109781	68.37249054	27.06970508	0.395915153	-1.336736808	0.003289909	0.269179359
LOC111349600	1511.14405	2166.358558	855.9295419	0.395100589	-1.339708099	5.36e-05	0.025549023
LOC111365134	541.9922008	777.457628	306.5267735	0.394268141	-1.342750958	0.000157293	0.043039648
LOC111360656	13.78482743	19.78476173	7.784893126	0.393479246	-1.345640552	0.034813088	0.79642073
LOC111351360	73.19917509	105.3244077	41.07394244	0.389975537	-1.358544469	4.17e-05	0.023167175
LOC111355199	776.9031174	1118.095029	435.7112059	0.389690674	-1.359598687	2.52e-07	0.000704079
LOC111349522	18.01083902	26.00540258	10.01627546	0.385161331	-1.376465228	0.015579238	0.560609901
LOC111360381	16.29429648	23.54299172	9.045601239	0.384216303	-1.380009358	0.022226578	0.662559142
LOC111351785	12.71497227	18.38344537	7.046499166	0.383306775	-1.383428595	0.043121283	0.888545057
LOC111348608	1127.620847	1630.53703	624.7046636	0.383128167	-1.384101	0.022067209	0.662253555
LOC111357368	1313.943154	1901.046124	726.8401843	0.382336954	-1.387083447	0.0051408	0.338658549
LOC111355709	15.33373136	22.18600942	8.481453301	0.382288366	-1.387266797	0.024285967	0.700228663
LOC111348525	423.8769386	613.3666875	234.3871897	0.382132246	-1.387856092	0.045056581	0.896101546
LOC111351397	269.1847644	389.6043614	148.7651674	0.381836504	-1.388973061	0.001223026	0.144638366
LOC111348849	16.79144477	24.33869765	9.244191877	0.379814566	-1.396632862	0.047802188	0.904460337
LOC111347762	45.04704228	65.37639493	24.71768963	0.378082787	-1.403225924	0.00275822	0.249941293
LOC111349352	433.6219846	630.1327827	237.1111864	0.376287654	-1.41009214	0.040298993	0.861497691
LOC111349638	334.8152953	486.666968	182.9636227	0.375952417	-1.41137802	0.008985947	0.430508587
LOC111364678	692.4619843	1007.975013	376.9489557	0.373966568	-1.419018795	5.27e-05	0.025549023
LOC111360865	233.0839761	339.5138537	126.6540985	0.37304545	-1.422576681	0.001575601	0.177318607
LOC111359946	75.71567484	110.3477492	41.08360048	0.372310272	-1.425422676	0.014912616	0.547988177
LOC111348366	212.1765022	310.3584965	113.994508	0.367299459	-1.444971322	0.041662053	0.874812387
LOC111363953	21.10636295	30.88156822	11.33115768	0.366923001	-1.446450751	0.019508628	0.621427075
LOC111354605	840.0980314	1230.3224	449.8736627	0.365655102	-1.451444603	1.34e-05	0.014881113
LOC111351385	288.2274188	422.5228178	153.9320198	0.364316466	-1.456735893	0.001966538	0.203281811
LOC111349707	150.8040733	221.2192106	80.38893606	0.363390394	-1.460407812	0.033958072	0.795108882
LOC111353023	2578.755144	3782.891174	1374.619114	0.363377917	-1.460457348	0.022018391	0.662212602
LOC111349521	228.3539776	334.994028	121.7139272	0.363331633	-1.460641118	4.72e-09	6.58e-05
LOC111348951	33.55503202	49.3994739	17.71059013	0.358517788	-1.479883393	0.000731597	0.113438227
LOC111361971	132.6934321	195.780283	69.60658123	0.355534174	-1.491939855	0.026746687	0.733154451
